title,genres
Donnie Darko (2001),Drama|Mystery|Sci-Fi|Thriller
Donos de Portugal (2012),Documentary
Donovan's Brain (1953),Sci-Fi
Donovan's Echo (2011),Drama|Sci-Fi|Thriller
Donovan's Reef (1963),Action|Comedy|Romance
Don's Plum (2001),Drama
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
Don't Be Afraid of the Dark (2010),Horror|Thriller
Don't Blink (2014),Horror|Mystery|Sci-Fi
Don't Bother to Knock (1952),Drama|Thriller
Don't Change Your Husband (1919),Comedy
Don't Come Knocking (2005),Drama|Western
Don't Deliver Us from Evil (Mais ne nous délivrez pas du mal) (1971),Drama|Horror
Don't Drink the Water (1969),Comedy
Don't Drink the Water (1994),Comedy
Don't Eat the Pictures: Sesame Street at the Metropolitan Museum of Art (1983),Children
Don't Give Up the Ship (1959),Comedy
Don't Go Breaking My Heart (Daan gyun naam yu) (2011),Romance
Don't Go in the House (1980),Horror
Don't Go In the Woods (1981),Horror
Don't Go Near the Water (1957),Adventure|Comedy|Romance
Don't Look Back (1967),Documentary|Musical
Don't Look Back (Ne te retourne pas) (2009),Drama|Horror|Mystery|Thriller
Don't Look in the Basement! (1973),Horror
Don't Look Now (1973),Drama|Horror|Thriller
Don't Look Now: We're Being Shot At (La grande vadrouille) (1966),Comedy|War
Don't Make Waves (1967),Comedy
Don't Move (Non ti muovere) (2004),Drama
Don't Say a Word (2001),Thriller
Don't Stop Believin': Everyman's Journey (2012),Documentary
Don't Tell Anyone (No se lo digas a nadie) (1998),Comedy|Drama
Don't Tell Mom the Babysitter's Dead (1991),Comedy
Don't Tempt Me (Sin noticias de Dios) (2001),Comedy|Fantasy|Mystery
Don't Think About It (Non Pensarci) (2007),Comedy|Drama
Don't Torture a Duckling (Non si sevizia un paperino) (1972),Horror|Mystery|Thriller
"Don't Worry, I'm Fine (Je vais bien, ne t'en fais pas) (2006)",Drama
Don't You Forget About Me (2009),Documentary
Doodlebug (1997),Fantasy|Mystery
Doogal (2006),Animation|Children
Doom (2005),Action|Horror|Sci-Fi
"Doom Generation, The (1995)",Comedy|Crime|Drama
Doomed to Die (1940),Crime|Drama|Mystery|Thriller
Doomsday (2008),Action|Drama|Sci-Fi|Thriller
Doomsday Book (2012),Comedy|Drama|Horror|Sci-Fi
Doomsday Prophecy (2011),Action|Sci-Fi|Thriller
Doomwatch (1972),Mystery|Sci-Fi|Thriller
"Door in the Floor, The (2004)",Drama
"Doors, The (1991)",Drama
"Doorway to Hell, The (1930)",Crime|Drama
Dopamine (2003),Comedy|Drama|Romance
Dope (2015),Comedy|Drama
Doppelgänger Paul (2012),(no genres listed)
Doppelganger (1993),Horror|Thriller
Doppelganger (Dopperugengâ) (2003),Comedy|Thriller
"Dorado, El (1988)",Drama
Dorian Blues (2004),Comedy
Dorian Gray (1970),Drama|Horror
Dorian Gray (2009),Drama|Horror|Sci-Fi
Dorm Daze (National Lampoon Presents Dorm Daze) (2003),Comedy
Dororo (2007),Adventure|Fantasy
"Dossier 51 (Dossier 51, Le) (1978)",Crime|Drama
Dot and the Whale (1986),Animation|Children
Dot the I (2003),Drama|Film-Noir|Thriller
Dots (1940),Animation
Dottie Gets Spanked (1993),Drama
Double Confession (1950),Crime|Drama
Double Dare (2004),Documentary
Double Dhamaal (2011),Comedy|Crime|Drama
Double Dragon (1994),Action|Adventure|Sci-Fi
Double Dynamite (1951),Comedy|Musical
Double Happiness (1994),Drama
Double Harness (1933),Comedy|Drama
"Double Hour, The (La doppia ora) (2009)",Crime|Drama|Mystery|Romance|Thriller
Double Impact (1991),Action
Double Indemnity (1944),Crime|Drama|Film-Noir
Double Indemnity (1973),Crime|Drama|Thriller
Double Jeopardy (1999),Action|Crime|Drama|Thriller
"Double Life of Veronique, The (Double Vie de Véronique, La) (1991)",Drama|Fantasy|Romance
"Double Life, A (1947)",Crime|Drama|Film-Noir
Double Or Nothing (1937),(no genres listed)
Double Play: James Benning and Richard Linklater (2013),Documentary
Double Solitaire (1974),Drama
Double Suicide (Shinjû: Ten no amijima) (1969),Drama|Romance
Double Take (2001),Action|Comedy
Double Take (2009),Documentary
Double Team (1997),Action
Double Tide (2010),Documentary
Double Trouble (1967),Musical
Double Trouble (1984),Action|Comedy
Double Trouble (1992),Action|Comedy|Crime|Romance
Double Vision (Shuang tong) (2002),Horror|Mystery|Thriller
Double Wedding (1937),Comedy|Romance
Double Whammy (2001),Action|Comedy|Drama
"Double, Double, Toil and Trouble (1993)",Adventure|Children|Comedy|Fantasy|Horror
"Double, The (2011)",Action|Crime|Drama|Mystery|Thriller
"Double, The (2013)",Comedy|Drama|Thriller
Doubt (2008),Drama|Mystery
Doubting Thomas (1935),Comedy
Doughboys (1930),Comedy|War
Doug's 1st Movie (1999),Animation|Children
"Doulos, Le (1962)",Crime|Thriller
"Dove, The (1974)",Drama|Romance
Down and Derby (2005),Children|Comedy
Down and Out in Beverly Hills (1986),Comedy
Down and Out with the Dolls (2001),Comedy
Down Argentine Way (1940),Comedy|Drama|Romance
Down by Law (1986),Comedy|Drama|Film-Noir
Down From the Mountain (2000),Documentary
Down in the Delta (1998),Drama
Down in the Valley (2005),Drama|Romance
Down Periscope (1996),Comedy
Down Terrace (2009),Comedy|Crime|Drama
Down to Earth (1994),Drama
Down to Earth (2001),Comedy|Fantasy|Romance
Down to the Bone (2004),Drama
Down to the Cellar (Do pivnice) (1983),Adventure|Fantasy|Thriller
Down to the Sea in Ships (1949),Drama
Down to You (2000),Comedy|Romance
Down Twisted (1987),Action|Adventure|Crime|Drama|Thriller
Down with Love (2003),Comedy|Romance
Downeast (2012),Documentary
"Downfall (Untergang, Der) (2004)",Drama|War
Downhill (1927),Drama
Downhill Racer (1969),Drama
Downloaded (2013),Documentary
Downloading Nancy (2008),Drama|Thriller
Downstairs (1932),Drama
Downtown (1990),Action|Comedy
Dr Money and the Boy with No Penis (2004),Documentary
Dr. Akagi (Kanzo sensei) (1998),Comedy|Drama|War
Dr. Bronner's Magic Soapbox (2006),Documentary
Dr. Crippen (1964),Crime|Drama
Dr. Cyclops (1940),Adventure|Horror|Sci-Fi
Dr. Dolittle (1998),Comedy
Dr. Dolittle 2 (2001),Comedy
Dr. Dolittle 3 (2006),Children|Comedy|Fantasy
Dr. Dolittle: Tail to the Chief (2008),Children|Comedy|Fantasy
Dr. Ehrlich's Magic Bullet (1940),Drama
Dr. Giggles (1992),Comedy|Horror
Dr. Gillespie's New Assistant (1942),Comedy|Drama|Mystery
Dr. Goldfoot and the Bikini Machine (1965),Comedy
Dr. Goldfoot and the Girl Bombs (Le spie vengono dal semifreddo) (1966),Comedy|Sci-Fi
Dr. Horrible's Sing-Along Blog (2008),Comedy|Drama|Musical|Sci-Fi
Dr. Jack (1922),Comedy
Dr. Jekyll and Mr. Hyde (1920),Drama|Horror|Sci-Fi
Dr. Jekyll and Mr. Hyde (1931),Drama|Horror
Dr. Jekyll and Mr. Hyde (1941),Drama|Horror
Dr. Jekyll and Mr. Hyde (2008),Drama|Horror|Sci-Fi|Thriller
Dr. Jekyll and Ms. Hyde (1995),Comedy|Horror
"Dr. Mabuse: The Gambler (Dr. Mabuse, der Spieler) (1922)",Crime|Mystery|Thriller
Dr. Moreau's House of Pain (2004),Horror
Dr. No (1962),Action|Adventure|Thriller
Dr. Otto and the Riddle of the Gloom Beam (1986),Comedy
Dr. Phibes Rises Again (1972),Adventure|Comedy|Horror|Romance
Dr. Seuss' The Lorax (2012),Animation|Fantasy|Musical|IMAX
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
Dr. T and the Women (2000),Comedy|Romance
Dr. Terror's House of Horrors (1965),Horror|Sci-Fi
Dr. Wai in the Scriptures with No Words (Mao xian wang) (1996),Action
Dr. Who and the Daleks (1965),Adventure|Children|Sci-Fi
Drömkåken (1993),Comedy
Dracula (1931),Horror
Dracula (1973),Horror
Dracula (1979),Horror|Romance
Dracula (Bram Stoker's Dracula) (1992),Fantasy|Horror|Romance|Thriller
Dracula (Dracula 3D) (2012),Horror|Romance|Thriller
Dracula 2000 (2000),Horror
Dracula A.D. 1972 (1972),Horror|Thriller
Dracula Has Risen from the Grave (1968),Horror|Romance|Thriller
Dracula Untold (2014),Action|Drama|Fantasy
Dracula: Dead and Loving It (1995),Comedy|Horror
Dracula: Pages from a Virgin's Diary (2001),Horror|Mystery
Dracula: Prince of Darkness (1966),Horror|Mystery
Dracula's Daughter (1936),Drama|Horror
Draft Day (2014),Drama
Drag Me to Hell (2009),Comedy|Horror
Dragnet (1987),Comedy|Crime|Drama
Dragon (Wu Xia) (2011),Action|Drama
Dragon Age: Blood mage no seisen (a.k.a. Dragon Age: Dawn of the Seeker) (2012),Animation|Fantasy
Dragon Age: Redemption (2011),Action|Adventure|Fantasy
Dragon Ball GT: A Hero's Legacy (Doragon bôru GT: Gokû gaiden! Yûki no akashi wa sû-shin-chû) (1997),Action|Adventure|Animation
Dragon ball Z 04: Lord Slug (1991),Animation|Children
Dragon Ball Z the Movie: The Tree of Might (Doragon bôru Z 3: Chikyû marugoto chô kessen) (1990),Action|Adventure|Animation|Sci-Fi
Dragon Ball Z the Movie: The World's Strongest (a.k.a. Dragon Ball Z: The Strongest Guy in The World) (Doragon bôru Z: Kono yo de ichiban tsuyoi yatsu) (1990),Action|Adventure|Animation|Sci-Fi|Thriller
Dragon Ball Z: Bardock - The Father of Goku (Doragon bôru Z: Tatta hitori no saishuu kessen - Furiiza ni itonda Z senshi Kakarotto no chichi) (1990),Action|Adventure|Animation
Dragon Ball Z: Battle of Gods (2013),Action|Animation|Fantasy|IMAX
Dragon Ball Z: Bio-Broly (Doragon bôru Z 11: Sûpâ senshi gekiha! Katsu no wa ore da) (1994),Action|Adventure|Animation
Dragon Ball Z: Bojack Unbound (Doragon bôru Z 9: Ginga girigiri!! Butchigiri no sugoi yatsu) (1993),Action|Adventure|Animation|Fantasy
Dragon Ball Z: Broly - The Legendary Super Saiyan (Doragon bôru Z 8: Moetsukiro!! Nessen retsusen-chô gekisen) (1993),Action|Adventure|Animation
Dragon Ball Z: Broly Second Coming (Doragon bôru Z 10: Kiken na futari! Sûpâ senshi wa nemurenai) (1994),Action|Adventure|Animation
Dragon Ball Z: Cooler's Revenge (Doragon bôru Z 5: Tobikkiri no saikyô tai saikyô) (1991),Action|Adventure|Animation
Dragon Ball Z: Dead Zone (Doragon bôru Z 1: Ora no Gohan wo kaese) (1989),Action|Adventure|Animation|Fantasy|Sci-Fi
Dragon Ball Z: Fusion Reborn (Doragon bôru Z 12: Fukkatsu no fyushon!! Gokû to Bejîta) (1995),Action|Adventure|Animation
Dragon Ball Z: Super Android 13! (Doragon bôru Z 7: Kyokugen batoru!! San dai sûpâ saiyajin) (1992),Action|Adventure|Animation
Dragon Ball Z: The History of Trunks (Doragon bôru Z: Zetsubô e no hankô!! Nokosareta chô senshi - Gohan to Torankusu) (1993),Action|Adventure|Animation
Dragon Ball Z: The Return of Cooler (Doragon bôru Z 6: Gekitotsu! Hyakuoku pawâ no senshi) (1992),Action|Adventure|Animation
Dragon Ball Z: Wrath of the Dragon (Doragon bôru Z 13: Ryûken bakuhatsu!! Gokû ga yaraneba dare ga yaru) (1995),Action|Adventure|Animation
Dragon Ball: Mystical Adventure (Doragon bôru: Makafushigi dai bôken) (1988),Action|Adventure|Animation|Children
Dragon Ball: Sleeping Princess in Devil's Castle (Doragon bôru: Majinjô no nemuri hime) (1987),Action|Adventure|Animation|Children
Dragon Ball: The Curse Of The Blood Rubies (Doragon bôru: Shenron no densetsu) (1986),Action|Adventure|Animation|Children
Dragon Ball: The Path to Power (Doragon bôru: Saikyô e no michi) (1996),Action|Adventure|Animation|Children
Dragon Crusaders (2011),Action|Adventure|Fantasy
Dragon Day (2013),Drama|Sci-Fi|Thriller
Dragon Eyes (2012),Action|Crime|Drama
Dragon Fist (Long quan) (1979),Action|Drama
Dragon Gate Inn (Dragon Inn) (Long men kezhan) (1967),Action|Adventure
Dragon Hunter (2009),Action|Adventure|Fantasy
Dragon Hunters (Chasseurs de dragons) (2008),Adventure|Animation|Children
Dragon Inn (Sun lung moon hak chan) (1992),Action
Dragon Lord (a.k.a. Dragon Strike) (Long Xiao Ye) (1982),Action
"Dragon Missile, The (Fei long zhan) (1976)",Action
Dragon Seed (1944),Drama
Dragon Tiger Gate (Lung fu moon) (2006),Action|Drama
Dragon: The Bruce Lee Story (1993),Action|Drama
Dragonball Evolution (2009),Action|Adventure|Fantasy|Sci-Fi
Dragonfly (1976),Drama
Dragonfly (2002),Drama|Fantasy|Mystery|Romance|Thriller
Dragonheart (1996),Action|Adventure|Fantasy
Dragonheart 2: A New Beginning (2000),Action|Adventure|Comedy|Drama|Fantasy|Thriller
Dragonheart 3: The Sorcerer's Curse (2015),Action|Adventure|Fantasy
Dragonlance: Dragons of Autumn Twilight (2008),Action|Adventure|Animation|Fantasy
"Dragonphoenix Chronicles: Indomitable, The (2013)",Action|Adventure|Fantasy
Dragonquest (2009),Fantasy
Dragons Forever (1988),Action|Comedy|Romance
Dragonslayer (1981),Action|Adventure|Fantasy
Dragonworld (1994),Adventure|Fantasy
Dragonwyck (1946),Drama|Mystery|Thriller
Drained (O cheiro do Ralo) (2006),Comedy
Drama/Mex (2006),Drama
"Draughtsman's Contract, The (1982)",Drama
Drawing Restraint 9 (2005),Fantasy
"Drawn Together Movie: The Movie!, The (2010)",Animation|Comedy
Dread (2009),Horror
Dream (Bi-mong) (2008),Drama|Fantasy|Mystery|Romance
Dream a Little Dream (1989),Comedy|Drama|Romance
Dream Boy (2008),Drama|Romance
"Dream Catcher, The (1999)",Drama
Dream Demon (1988),Horror
Dream for an Insomniac (1996),Drama|Romance
Dream Home (Wai dor lei ah yut ho) (2010),Horror
Dream House (2011),Drama|Mystery|Thriller
Dream Land (2004),(no genres listed)
Dream Lover (1994),Drama|Mystery
Dream Machine (1991),Action|Comedy|Crime
Dream Man (1995),Thriller
"Dream of Light (a.k.a. Quince Tree Sun, The) (Sol del membrillo, El) (1992)",Documentary|Drama
Dream Team 1935 (2012),Comedy|Drama
"Dream Team, The (1989)",Comedy
Dream Wife (1953),Comedy|Romance
Dream With the Fishes (1997),Drama
Dreamboat (1952),Comedy
Dreamcatcher (2003),Drama|Horror|Sci-Fi|Thriller
Dreamchild (1985),Drama|Fantasy|Romance
Dreamer: Inspired by a True Story (2005),Children|Drama
"Dreamers, The (2003)",Drama
Dreamgirls (2006),Drama|Musical
Dreaming of Joseph Lees (1999),Drama|Romance
Dreamland (2006),Drama
"Dreamlife of Angels, The (Vie rêvée des anges, La) (1998)",Drama
Dreams (Kvinnodröm) (1955),Drama
Dreams of  a Life (2011),Documentary
Dreams on Spec (2007),Documentary
Dreams That Money Can Buy (1947),Fantasy
Dreamscape (1984),Horror|Sci-Fi|Thriller
Dreamworld (2012),Comedy|Drama|Romance
"Dreamworlds II: Desire, Sex, Power in Music Video (1997)",Documentary
Dredd (2012),Action|Sci-Fi
Drei Stunden (2013),Comedy|Romance
Dressed to Kill (1980),Mystery|Thriller
"Dresser, The (1983)",Drama
Drevo (2014),Drama
Drew: The Man Behind the Poster (2013),Documentary
Drift (2013),Drama
Drifting Clouds (Kauas pilvet karkaavat) (1996),Comedy|Drama
Drillbit Taylor (2008),Comedy
"Driller Killer, The (1979)",Drama|Horror
Drinking Buddies (2013),Comedy|Drama|Romance
Drishyam (2013),Children|Drama|Thriller
Drive (2011),Crime|Drama|Film-Noir|Thriller
Drive Angry (2011),Action|Fantasy|Thriller
Drive Hard (2014),Action|Comedy|Crime
Drive Me Crazy (1999),Comedy|Romance
Drive Thru (2007),Comedy|Horror
"Drive, He Said (1971)",Comedy|Drama
Drive-In Horrorshow (2009),Horror
Driven (2001),Action|Thriller
Driven to Kill (2009),Action|Crime|Thriller
"Driver, The (1978)",Action|Crime|Film-Noir
Driving Lessons (2006),Comedy|Drama
Driving Miss Daisy (1989),Drama
Drogówka (2013),Comedy|Crime|Drama
Drona (2008),Action|Adventure|Fantasy|Musical
Drones (2010),Comedy|Sci-Fi
Drop Dead Fred (1991),Comedy|Fantasy
Drop Dead Gorgeous (1999),Comedy
Drop Zone (1994),Action|Thriller
"Drop, The (2014)",Crime|Drama|Thriller
Drowning by Numbers (1988),Comedy|Drama
Drowning Mona (2000),Comedy
"Drowning Pool, The (1975)",Mystery|Thriller
Drug War (Du zhan) (2012),Crime
Drugstore Cowboy (1989),Crime|Drama
Drum (2004),Thriller
"Drum, The (Drums) (1938)",Adventure|War
Drumline (2002),Comedy|Drama|Musical|Romance
Drummer-Crab (Le Crabe-Tambour) (1977),Adventure|Drama|War
Drums Along the Mohawk (1939),Adventure|War|Western
Drunk Stoned Brilliant Dead: The Story of the National Lampoon (2015),Comedy|Documentary
Drunken Angel (Yoidore tenshi) (1948),Drama|Film-Noir
Drunken Master (Jui kuen) (1978),Action|Comedy
Drunken Tai Chi (Siu taai gik) (1984),Action|Comedy
Drunks (1995),Drama
Dry Cleaning (Nettoyage à sec) (1997),Drama
Dry Season (Daratt) (2006),Drama
Dry Summer (Susuz yaz) (Reflections) (1964),Drama
"Dry White Season, A (1989)",Drama|Thriller
Du côté de la côte (1958),Documentary
"Duchess of Langeais, The (a.k.a. Don't Touch the Axe) (Ne touchez pas la hache) (2007)",Drama|Romance
"Duchess, The (2008)",Drama|Romance
Duck Season (Temporada de patos) (2004),Comedy
Duck Soup (1933),Comedy|Musical|War
"Duck, You Sucker (a.k.a. Fistful of Dynamite, A) (Giù la testa) (1971)",Action|Adventure|War|Western
DuckTales: The Movie - Treasure of the Lost Lamp (1990),Adventure|Animation|Children|Comedy|Fantasy
"Dude, Where's My Car? (2000)",Comedy|Sci-Fi
"Dudesons Movie, The (2006)",Comedy|Documentary
Dudley Do-Right (1999),Children|Comedy
Due Date (2010),Comedy
Duel (1971),Action|Mystery|Thriller
Duel at Diablo (1966),War
"Duel at Silver Creek, The (1952)",Western
Duel in the Sun (1946),Western
Duelist (Hyeongsa) (2005),Action|Mystery
"Duellists, The (1977)",Action|War
Duets (2000),Comedy|Drama
Dug's Special Mission (2009),Animation|Children|Comedy
"Dukes of Hazzard, The (2005)",Action|Adventure|Comedy
"Dukes, The (2007)",Comedy|Crime|Drama
Duma (2005),Adventure|Drama
Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
Dumb and Dumber To (2014),Comedy
Dumb and Dumberer: When Harry Met Lloyd (2003),Comedy
Dumbo (1941),Animation|Children|Drama|Musical
Dummy (2002),Comedy|Drama|Romance
Dumplings (Gaau ji) (2004),Drama|Horror|Thriller
"Dunce Class on Vacation, The (Hababam sinifi tatilde) (1978)",Comedy
Dune (1984),Adventure|Sci-Fi
Dune (2000),Drama|Fantasy|Sci-Fi
"Dungeon Masters, The (2008)",Documentary
"Dungeonmaster, The (1985)",Fantasy|Horror|Sci-Fi
Dungeons & Dragons (2000),Adventure|Fantasy
Dunston Checks In (1996),Children|Comedy
"Dunwich Horror, The (1970)",Horror
"Dunwich Horror, The (2009)",Horror
Duo (Pas de deux) (1968),Animation|Musical
"Dupes, The (Al-makhdu'un) (1973)",Drama
Duplex (2003),Comedy|Crime
Duplicate (1998),Comedy|Crime|Musical
Duplicity (2009),Crime|Romance|Thriller
Dust (2001),Drama|Western
Dust Devil (1992),Horror|Mystery|Thriller
"Dust Factory, The (2004)",Adventure|Children|Romance
Dust in the Wind (Lian lian feng chen) (1986),Drama|Romance
"Dust of Time, The (2008)",Drama
Dust to Glory (2005),Action|Adventure|Documentary
Dutch (1991),Comedy
Dutchman (1967),Drama
D-War (Dragon Wars) (2007),Action|Adventure|Drama|Fantasy
"Dyatlov Pass Incident, The (Devil's Pass) (2013)",Mystery|Thriller
Dying at Grace (2003),Documentary
Dying Breed (2008),Horror|Thriller
"Dying Gaul, The (2005)",Drama|Romance
Dying of Laughter (Muertos de Risa) (1999),Comedy
Dying of the Light (2014),Drama|Thriller
Dying Room Only (1973),Horror|Mystery|Thriller
"Dying Swan, The (Umirayushchii lebed) (1917)",Drama
Dying Young (1991),Drama|Romance
Dylan Dog: Dead of Night (2010),Comedy|Horror|Mystery|Thriller
Dylan Moran Live: What It Is (2009),Comedy
"Dylan Moran: Like, Totally (2006)",Comedy
Dylan Moran: Monster (2004),Comedy|Documentary
"Dylan Moran: Yeah, Yeah (2011)",Comedy
Dynamite (1929),Drama
Dynamite Girl (Dynamiittityttö) (1944),Comedy|Crime
DysFunktional Family (2003),Comedy|Documentary
E Aí... Comeu? (2012),Comedy
E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi
E=mc2 (2002),Action|Comedy
貞子3D (2012),Horror
Each Dawn I Die (1939),Crime|Drama|Thriller
Eagle Eye (2008),Action|Crime|Thriller|IMAX
"Eagle Has Landed, The (1976)",Drama|War
"Eagle Has Two Heads, The (L'aigle à deux têtes) (1948)",Drama
Eagle vs Shark (2007),Comedy
"Eagle, The (2011)",Adventure|Drama
"Ear, The (Ucho) (1970)",Drama|Thriller
Early Spring (Soshun) (1956),Drama
Early Summer (Bakushû) (1951),Drama
"Early Years: Erik Nietzsche Part 1, The (De unge år: Erik Nietzsche) (2007)",Comedy|Drama
"Earrings of Madame de..., The (Madame de...) (1953)",Drama
Earth (1998),Drama|War
Earth (2007),Documentary
Earth (Tierra) (1996),Drama|Romance
Earth (Zemlya) (1930),Drama
Earth Days (2009),Documentary
"Earth Dies Screaming, The (1964)",Horror|Sci-Fi
Earth Entranced (Terra em Transe) (1967),Drama
Earth Girls Are Easy (1988),Comedy|Musical|Sci-Fi
"Earth Is a Sinful Song, The (Maa on syntinen laulu) (1973)",Drama
Earth to Echo (2014),Adventure|Children|Sci-Fi
"Earth Trembles, The (Terra trema: Episodio del mare, La) (1948)",Drama
Earth vs. the Flying Saucers (1956),Sci-Fi
Earth vs. The Spider (1958),Horror
Earth vs. the Spider (2001),Horror|Sci-Fi|Thriller
"Earthling, The (1980)",Adventure|Drama
Earthlings (2006),Documentary
Earthquake (1974),Action|Drama|Thriller
Earthsea (Legend of Earthsea) (2004),Adventure|Drama|Fantasy
Easier with Practice (2009),Drama|Romance
East is East (1999),Comedy
East Meets West (Dung sing sai tsau 2011) (2011),Comedy
East of Eden (1955),Drama
East Palace West Palace (Dong gong xi gong) (1997),Drama
East Side Story (1997),Documentary|Musical
"East Side, West Side (1949)",Crime|Drama|Romance
"East, The (2013)",Drama
"East, West, East: The Final Sprint (2009)",Comedy|Drama
Easter Parade (1948),Musical|Romance
Eastern Drift (Indigène d'Eurasie) (2010),Drama|Film-Noir|Thriller
Eastern Plays (2009),Drama
Eastern Promises (2007),Crime|Drama|Thriller
East-West (Est-ouest) (1999),Drama|Romance
Eastwood on Eastwood (1997),Documentary
Easy (2003),Comedy|Drama|Romance
Easy A (2010),Comedy|Romance
"Easy Come, Easy Go (1967)",Adventure|Musical
"Easy Life, The (Il Sorpasso) (1962)",Comedy|Drama
Easy Living (1937),Comedy|Romance
Easy Money (1983),Comedy
Easy Money (Snabba Cash) (2010),Action|Thriller
Easy Money 2 (Snabba cash II) (2012),Action|Crime|Drama
Easy Rider (1969),Adventure|Drama
"Easy Riders, Raging Bulls: How the Sex, Drugs and Rock 'N' Roll Generation Saved Hollywood (2003)",Documentary
Easy Street (1917),Comedy
Easy to Love (1953),Comedy|Musical|Romance
Easy Virtue (1928),Drama
Easy Virtue (2008),Comedy|Romance
Easy Wheels (1989),Action|Comedy
Eat (1963),Documentary
Eat (2011),Drama
Eat a Bowl of Tea (1989),Romance
Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance
Eat Pray Love (2010),Drama|Romance
Eat Sleep Die (Äta sova dö) (2012),Drama
Eaten Alive (1977),Horror
Eaten Alive (Mangiati Vivi) (1980),Adventure|Horror
Eating Raoul (1982),Comedy
Eaux d'artifice (1953),Fantasy
"Ebola Syndrome, The (Yi boh laai beng duk) (1996)",Comedy|Horror
Eccentricities of a Blonde-haired Girl (Singularidades de uma Rapariga Loura) (2009),Drama|Romance
Echelon Conspiracy (2009),Action|Mystery|Thriller
Echoes from the Dead (Skumtimmen) (2013),Drama|Mystery
Echoes of the Rainbow (Sui yuet san tau) (2010),Comedy|Drama|Romance
"Eclipse, The (2009)",Drama|Horror|Thriller
"Eclisse, L' (Eclipse) (1962)",Drama
Ecstasy (Éxtasis) (1996),Drama
Ecstasy in Entropy (1999),(no genres listed)
Ed (1996),Comedy
Ed and His Dead Mother (1993),Comedy|Horror
Ed Hardy: Tattoo the World (2010) ,Documentary
Ed Wood (1994),Comedy|Drama
Eddie (1996),Comedy
Eddie and the Cruisers (1983),Drama|Musical|Mystery
Eddie and the Cruisers II: Eddie Lives! (1989),Drama|Musical
Eddie Izzard: Circle (2002),Comedy
Eddie Izzard: Dress to Kill (1999),Comedy
Eddie Izzard: Force Majeure Live (2013),Comedy
Eddie Izzard: Glorious (1997),Comedy
Eddie Murphy Delirious (1983),Comedy|Documentary
Eddie Murphy Raw (1987),Comedy|Documentary
"Eddy Duchin Story, The (1956)",Drama|Musical|Romance
Eden (1997),Drama
Eden (2006),Drama|Romance
Eden (2012),Crime|Drama
Eden (2014),Drama
Eden Is West (Eden à l'Ouest) (2009),Drama
Eden Lake (2008),Horror|Thriller
Eden Log (2007),Horror|Mystery|Sci-Fi|Thriller
Eden of the East the Movie I: The King of Eden (Higashi no Eden Gekijoban) (2009),Action|Animation|Crime|Sci-Fi|Thriller
Eden of the East the Movie II: Paradise Lost (Higashi no Eden Gekijôban II: Paradise Lost) (2010),Animation|Crime|Mystery|Sci-Fi|Thriller
Edge of Darkness (1943),Drama|War
Edge of Darkness (2010),Drama|Thriller
Edge of Fear (Ella y el miedo) (1962),Horror
"Edge of Heaven, The (Auf der anderen Seite) (2007)",Drama
"Edge of Love, The (2008)",Drama|Romance|War
Edge of Madness (2002),Drama
Edge of Seventeen (1998),Comedy|Drama|Romance
Edge of the City (1957),Drama|Film-Noir
"Edge of the World, The (1937)",Drama|Romance
Edge of Tomorrow (2014),Action|Sci-Fi|IMAX
"Edge, The (1997)",Adventure|Drama
"Edge, The (Kray) (2010)",Adventure|Drama|Romance
Edges of the Lord (2001),Drama|War
Edie & Pen (1996),Comedy
Edison Force (a.k.a. Edison) (2005),Crime|Drama|Thriller
Edison Kinetoscopic Record of a Sneeze (1894),Documentary
"Edison, the Man (1940)",Drama
Edmond (2005),Drama|Thriller
Edmund Kean: Prince Among Lovers (Kean) (1924),Drama
Ed's Next Move (1996),Comedy|Romance
EDtv (1999),Comedy
Educating Rita (1983),Comedy|Drama
Education for Death (1943),Animation|Comedy
"Education of Charlie Banks, The (2007)",Drama
"Education of Little Tree, The (1997)",Drama
"Education of Mohammad Hussein, The (2013)",Documentary
"Education, An (2009)",Drama|Romance
"Edukators, The (Die Fetten Jahre sind vorbei) (2004)",Comedy|Crime|Drama|Romance
Edvard Munch (1974),Drama
Edward II (1991),Drama
Edward Scissorhands (1990),Drama|Fantasy|Romance
"Edward, My Son (1949)",Drama
Eegah (1962),Fantasy|Horror|Romance|Thriller
"Eel, The (Unagi) (1997)",Drama|Romance
Eerie Tales (Unheimliche Geschichten) (1919),Fantasy|Horror|Mystery
Efectos secundarios (2006),Comedy
"Effect of Gamma Rays on Man-in-the-Moon Marigolds, The (1972)",Drama
Effi Briest (Fontane - Effi Briest) (1974),Drama
Effie Gray (2014),Drama
"Egg and I, The (1947)",Comedy|Romance
Eggs (1995),Comedy|Drama
Ego (2013),Drama
"Egyptian, The (1954)",Drama
Eichmann (2007),Drama|War
"Eiger Sanction, The (1975)",Action|Adventure|Drama|Thriller
Eight Below (2006),Action|Adventure|Drama|Romance
Eight Crazy Nights (Adam Sandler's Eight Crazy Nights) (2002),Animation|Comedy|Musical
